1,0.000600,0.000300,0.000800,0.000100,0.000100,0.000000,0.000100,0.000100,0.000100,0.000000,
2,0.000100,0.000000,0.000000,0.000000,0.000100,0.000000,0.000100,0.000100,0.000000,0.000000,
3,0.000100,0.000100,0.000000,0.000100,0.000100,0.000100,0.000000,0.000000,0.000100,0.000100,
4,0.000100,0.000700,0.000200,0.000000,0.000000,0.000100,0.000700,0.000700,0.000100,0.000100,
5,0.000200,0.000100,0.000000,0.000100,0.000100,0.000100,0.000100,0.000000,0.000100,0.000100,
6,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,
7,0.000100,0.000200,0.000100,0.000100,0.000600,0.000100,0.000100,0.000100,0.000100,0.000100,
8,0.000200,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,
9,0.000200,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,
10,0.000100,0.000100,0.000200,0.000100,0.000200,0.000100,0.000100,0.000100,0.000200,0.000100,
11,0.000200,0.000200,0.000100,0.000100,0.000100,0.000200,0.000100,0.000100,0.000100,0.000100,
12,0.000200,0.000200,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,
13,0.000200,0.000100,0.000200,0.000100,0.000200,0.000200,0.000200,0.000100,0.000200,0.000100,
14,0.000200,0.000200,0.000100,0.000100,0.000200,0.000200,0.000200,0.000200,0.000200,0.000100,
15,0.000200,0.000200,0.000100,0.000100,0.000200,0.000200,0.000200,0.000200,0.000100,0.000200,
16,0.000200,0.000200,0.000200,0.000100,0.000100,0.000200,0.000200,0.000100,0.000200,0.000200,
17,0.000200,0.000200,0.000200,0.000200,0.000200,0.000200,0.000200,0.000200,0.000200,0.000200,
18,0.000200,0.000300,0.000200,0.000200,0.000200,0.000200,0.000200,0.000200,0.000200,0.000200,
19,0.000200,0.000200,0.000200,0.000200,0.000200,0.000200,0.000200,0.000300,0.000200,0.000200,
20,0.000300,0.000200,0.000200,0.001900,0.000400,0.000500,0.000300,0.000200,0.000200,0.000200,
21,0.000300,0.000200,0.000200,0.000200,0.000900,0.000400,0.000200,0.000200,0.000200,0.000300,
22,0.000500,0.000300,0.000200,0.000300,0.000300,0.000200,0.000300,0.000200,0.000200,0.000200,
23,0.000300,0.000300,0.000200,0.000200,0.000200,0.000200,0.000200,0.000200,0.000200,0.000400,
24,0.000300,0.000300,0.000200,0.000200,0.000200,0.000200,0.000200,0.000200,0.000300,0.000200,
25,0.000300,0.000300,0.000300,0.000300,0.000200,0.000300,0.000200,0.000200,0.000200,0.000300,
50,0.001000,0.000900,0.001000,0.000900,0.000800,0.000800,0.000800,0.000900,0.000800,0.000800,
75,0.001800,0.001700,0.001600,0.001700,0.001600,0.001700,0.001600,0.001600,0.001600,0.001700,
100,0.003000,0.002700,0.002600,0.002600,0.002700,0.002700,0.002600,0.002600,0.002600,0.002600,
150,0.005400,0.005400,0.005300,0.005300,0.005300,0.005300,0.005400,0.005400,0.005300,0.005300,
200,0.009000,0.008900,0.009000,0.010100,0.009000,0.009000,0.008900,0.009000,0.009000,0.008900,
250,0.013500,0.013500,0.013500,0.013500,0.013500,0.013500,0.013500,0.013400,0.013600,0.013400,
300,0.024200,0.018900,0.019000,0.018900,0.019000,0.019000,0.019000,0.018900,0.018900,0.018900,
350,0.026600,0.025300,0.025200,0.025200,0.025300,0.025300,0.025300,0.025300,0.025400,0.025300,
400,0.035000,0.032700,0.032500,0.032700,0.032600,0.032500,0.032500,0.032600,0.032600,0.032600,
450,0.042300,0.045100,0.040900,0.040800,0.040800,0.040800,0.040700,0.040800,0.040800,0.040700,
500,0.051100,0.049900,0.049800,0.049800,0.049700,0.049800,0.049900,0.049800,0.049800,0.049700,
550,0.061100,0.059700,0.059900,0.059900,0.059800,0.059800,0.059800,0.059800,0.059800,0.059900,
600,0.072300,0.073300,0.070800,0.070700,0.070800,0.070800,0.070700,0.070700,0.070700,0.070800,
650,0.084000,0.082700,0.082500,0.082500,0.082500,0.082700,0.082500,0.082600,0.082600,0.082500,
700,0.097500,0.095400,0.097200,0.095400,0.095200,0.095200,0.095200,0.095100,0.095200,0.095300,
750,0.110200,0.108900,0.108800,0.109000,0.109000,0.108800,0.108900,0.109000,0.110500,0.108800,
800,0.124900,0.123500,0.137300,0.126100,0.125800,0.125900,0.125700,0.125600,0.125700,0.131000,
850,0.144900,0.141400,0.141300,0.141400,0.141200,0.141500,0.141300,0.141300,0.144000,0.141300,
900,0.160100,0.157600,0.157700,0.157800,0.166900,0.157800,0.157800,0.158000,0.157800,0.159700,
950,0.176500,0.175300,0.175400,0.207700,0.184100,0.175800,0.175800,0.175300,0.177200,0.175300,
1000,0.196700,0.193800,0.193700,0.194200,0.193400,0.193400,0.193600,0.195500,0.193800,0.193900,
2000,0.777600,0.753700,0.751500,0.752900,0.751500,0.750600,0.753100,0.751200,0.752700,0.751600,
3000,1.700500,1.675000,1.700700,1.726200,1.674000,1.674400,1.663000,1.661900,1.659800,1.670700,
4000,3.281300,3.014800,2.961600,2.961200,2.960400,2.975900,2.962600,2.960700,2.960800,2.958100,
5000,4.704200,4.655600,4.608100,4.610900,4.644700,4.606700,4.610400,4.625000,4.661400,4.683300,
6000,6.842700,6.625400,6.754500,6.642500,6.630500,6.690200,6.587900,6.630200,6.629300,6.639500,
7000,9.045900,8.993400,9.149100,9.026200,9.069500,9.034900,9.802700,9.010500,9.098400,9.162700,
8000,11.819700,11.870800,11.773800,11.765400,11.768200,11.767000,11.815400,12.303500,11.856500,11.755500,
9000,16.970400,14.887500,15.086600,15.049200,15.115700,14.837500,14.952900,14.892200,15.140600,14.973100,
10000,18.549000,22.397400,18.515500,18.401700,18.487300,19.341900,18.550800,18.548200,18.406400,18.388100,
20000,74.689100,73.892200,73.496500,74.379300,73.700400,74.166200,74.732300,78.022200,73.890500,75.502800,
30000,166.860300,169.024000,166.054900,165.326300,165.920200,169.910100,166.191500,165.833100,172.760000,166.443100,
40000,294.259300,296.220500,297.292500,302.423900,297.899500,301.262200,304.145400,297.546000,298.865200,295.026300,
50000,462.670200,470.990500,463.368900,461.604600,473.057500,462.358800,466.213700,463.143400,477.416000,470.512600,
60000,671.302600,671.948300,692.007000,665.022400,667.719200,666.635000,667.799900,667.913900,678.628800,669.113100,
70000,926.880300,911.372500,906.476900,901.157900,904.423500,915.346000,911.199600,903.383400,928.281000,914.317500,
80000,1178.462400,1178.996600,1179.117600,1199.661200,1184.617400,1180.715600,1183.532700,1182.988200,1180.504900,1178.287500,
90000,1500.657100,1495.943500,1491.234100,1490.473300,1491.320500,1501.218700,1491.818800,1503.062200,1515.342200,1504.415100,
100000,1932.600100,2032.125100,1909.482900,1912.789600,1922.602300,1958.681400,1963.782900,1951.088000,1970.279700,1899.263600,
200000,7943.662500,7896.052700,7948.434600,7724.159400,7567.204100,7635.042500,7641.367400,7670.359900,7677.676000,7576.214100,
300000,17074.435500,17200.913800,17049.171000,17199.696100,17643.513800,17113.985800,16976.074500,16967.271400,17032.035100,17079.419700,
400000,30206.769800,30073.034400,30073.737400,30812.901200,30082.562500,30486.414800,30280.758400,30538.330800,30430.637900,30471.009500,
500000,47364.320200,47135.879500,46908.567200,46983.768700,47594.401500,47562.835300,47854.272300,47593.210100,47630.426600,47109.543200,
600000,67491.353800,68345.846300,69215.031400,69421.504400,67878.781600,67434.915700,67956.066700,69010.715700,69057.251900,68276.711500,
700000,91871.273900,93660.507800,96909.042800,95087.415000,93075.855600,93309.244300,93926.089500,92442.393700,91772.759900,93789.925900,
800000,122687.260200,120969.762400,122582.642700,126266.652300,124962.032500,124920.801900,123674.373800,120234.451700,121930.685000,121665.684200,
900000,153556.802100,154774.026300,153017.304400,153157.202200,152648.697900,152195.731100,155846.441600,151782.618900,152964.671700,152207.518900,
1000000,189253.215100,189678.291800,190407.867800,188818.630900,190454.382300,188743.574800,197776.038600,188267.581100,188973.133600,188346.509600,
