1,0.001800,0.000300,0.000300,0.000200,0.000200,0.000300,0.000300,0.000300,0.000200,0.000300,
2,0.008400,0.001100,0.001000,0.000900,0.001000,0.001000,0.000900,0.000900,0.001000,0.000900,
3,0.001300,0.001200,0.001100,0.001100,0.001200,0.001200,0.002000,0.001200,0.001200,0.001100,
4,0.001400,0.001200,0.001100,0.001300,0.001300,0.001500,0.001300,0.001400,0.001300,0.001500,
5,0.001400,0.001400,0.001300,0.001200,0.001200,0.001300,0.001300,0.001300,0.001200,0.001200,
6,0.001800,0.001900,0.002800,0.001700,0.001800,0.002300,0.003000,0.001800,0.001600,0.001400,
7,0.001900,0.001800,0.001600,0.012900,0.001200,0.001100,0.001000,0.000800,0.001000,0.001100,
8,0.001300,0.001300,0.001000,0.000900,0.001100,0.000900,0.001100,0.000900,0.001100,0.000900,
9,0.001700,0.001500,0.001200,0.001400,0.009500,0.001700,0.001500,0.007300,0.001000,0.002500,
10,0.001300,0.001000,0.001000,0.001000,0.001000,0.000800,0.001000,0.000800,0.000900,0.000900,
11,0.001200,0.001000,0.008500,0.001100,0.001800,0.001000,0.000900,0.001000,0.000900,0.000800,
12,0.013000,0.000700,0.000500,0.000400,0.000500,0.000500,0.000400,0.000400,0.000500,0.000400,
13,0.000800,0.000700,0.000600,0.000500,0.013300,0.000700,0.000500,0.000700,0.000600,0.000600,
14,0.000800,0.001000,0.000600,0.000500,0.000600,0.000600,0.000600,0.000500,0.000500,0.000500,
15,0.000800,0.000500,0.000500,0.000500,0.000400,0.000400,0.000500,0.000400,0.000500,0.000500,
16,0.000700,0.000500,0.000500,0.000500,0.000500,0.000600,0.000500,0.000500,0.000500,0.000400,
17,0.000900,0.000700,0.000600,0.000500,0.000500,0.000600,0.000500,0.000500,0.000500,0.000500,
18,0.000900,0.000600,0.000600,0.000600,0.000600,0.000600,0.000600,0.000800,0.000600,0.000600,
19,0.000800,0.000600,0.001000,0.000600,0.000600,0.000500,0.000500,0.000500,0.000500,0.000600,
20,0.000900,0.000600,0.000800,0.000700,0.000600,0.000600,0.000500,0.000600,0.000600,0.000600,
21,0.000800,0.000700,0.000600,0.000600,0.000500,0.000600,0.000600,0.000600,0.000600,0.000700,
22,0.001000,0.000700,0.000700,0.000600,0.000600,0.000800,0.000700,0.000700,0.000700,0.000700,
23,0.001000,0.000800,0.000700,0.000700,0.000600,0.000600,0.000600,0.000600,0.000600,0.000600,
24,0.001100,0.000800,0.000800,0.000700,0.000700,0.000700,0.000600,0.000700,0.001100,0.000700,
25,0.001100,0.000800,0.000700,0.000700,0.000700,0.000700,0.001000,0.000600,0.000700,0.000700,
50,0.002100,0.001800,0.001300,0.001200,0.001200,0.004100,0.001700,0.001400,0.001300,0.001200,
75,0.003400,0.002700,0.007400,0.002200,0.002300,0.002200,0.004900,0.002100,0.002000,0.002000,
100,0.014500,0.003600,0.003300,0.003200,0.002800,0.002900,0.002500,0.002600,0.002400,0.002700,
150,0.007000,0.005400,0.005300,0.004500,0.004600,0.004200,0.004200,0.004200,0.004000,0.004600,
200,0.009000,0.007500,0.006700,0.006500,0.006900,0.006400,0.006000,0.006100,0.005800,0.005800,
250,0.012100,0.017200,0.009200,0.008300,0.008100,0.007600,0.007300,0.007900,0.008000,0.007300,
300,0.014400,0.012400,0.011500,0.011300,0.010400,0.010500,0.009800,0.009900,0.010300,0.009400,
350,0.016900,0.015400,0.014200,0.013300,0.012600,0.012100,0.012300,0.012700,0.011900,0.011800,
400,0.020300,0.019100,0.016700,0.015200,0.014900,0.014700,0.014200,0.013000,0.013700,0.013500,
