Quicksort Dual Partition
Array Length,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
590000,54.8007,54.5883,54.8625,55.0988,54.4743,55.0641,54.6048,55.6327,57.7827,55.5394,
600000,55.5402,57.3107,57.451,56.1426,55.3236,56.0893,57.0486,55.6439,61.6738,57.2225,
610000,59.4133,56.2428,59.5488,55.6918,61.9809,57.1218,58.6452,60.3235,57.4791,55.4546,
620000,56.5568,55.8009,56.2212,56.0747,56.6746,58.5763,66.3948,70.8459,58.4974,56.227,
630000,58.988,56.6443,60.7375,56.8049,57.7572,56.8898,60.5874,56.4795,58.2538,57.1934,
640000,57.8978,57.2556,59.3645,58.0094,59.8061,64.6181,58.2575,58.2891,62.9199,59.3785,
650000,58.1965,59.3293,58.2,59.488,63.4366,65.0836,59.7008,65.8434,58.7236,58.432,
660000,67.303,66.8708,60.0377,60.5046,60.3622,58.4215,64.6118,58.7105,63.9234,58.4996,
670000,61.1789,60.8998,64.8098,61.1201,61.4325,59.4567,59.8115,59.5093,63.3099,63.1618,
680000,62.6779,61.8628,59.8116,62.805,60.2358,60.2749,59.9541,61.9865,61.2971,66.6412,
690000,60.2908,60.706,60.7044,65.4092,65.2299,60.0353,61.2964,63.858,60.6392,61.3522,
700000,61.3922,60.9719,63.6326,62.4949,65.1382,69.7629,61.5999,66.0725,60.6018,61.1217,
710000,62.0446,62.3717,61.6939,63.1888,66.2889,71.2954,63.0364,61.3285,61.487,65.1309,
720000,67.2509,62.9631,62.1322,64.2599,71.7748,71.1672,71.3987,71.4668,65.2695,65.0173,
730000,63.4342,65.6818,75.9113,62.7649,65.6097,67.0167,62.8893,65.4921,72.5737,65.7316,
740000,68.2485,69.4103,64.4181,67.0158,65.0359,67.9184,65.2323,70.0117,67.2139,66.7931,
750000,64.5235,64.2828,65.0641,67.4868,66.7562,68.915,70.5761,75.2987,64.6089,74.2557,
760000,65.6705,65.4157,67.027,71.2912,71.1886,65.8489,65.7959,67.7435,66.4139,66.1159,
770000,65.4621,66.3337,66.0501,66.2154,66.2022,65.9959,68.7154,65.9486,66.1136,66.3089,
780000,66.152,66.6564,68.0962,81.3403,69.0733,67.3494,66.7113,67.0625,66.8987,69.9449,
790000,77.093,68.4539,68.7121,74.4089,68.198,68.5986,67.8089,68.0322,67.9807,68.4626,
800000,75.1009,70.6855,68.115,68.1281,75.244,67.4977,68.7078,71.0663,73.4737,69.2075,
810000,68.4149,74.0674,68.7041,70.3555,76.4795,68.7065,69.3643,69.2738,68.5918,68.9321,
820000,68.8646,69.6541,76.2511,68.9836,71.6609,80.4273,72.4207,72.079,69.2016,69.1272,
830000,72.6821,79.0932,69.5694,70.0281,69.8524,81.6968,73.7107,69.3598,69.7022,71.1594,
840000,70.1329,70.722,71.2078,73.7975,70.8393,73.0698,71.8376,70.3104,70.7748,72.9164,
850000,72.7847,72.3853,75.6202,78.1148,71.4341,72.9916,72.4971,73.5256,72.1763,71.0128,
860000,72.3185,71.9295,75.644,83.5784,74.352,71.8783,79.9803,72.8006,78.2436,73.1572,
870000,73.787,73.895,82.0413,72.4747,76.8697,79.9515,85.329,74.3146,77.3786,73.2536,
880000,72.91,79.3504,73.4456,75.8977,77.3924,73.0844,72.8635,78.2091,81.4226,72.8263,
890000,75.1001,75.5285,75.1558,77.2047,85.8155,73.9158,85.0611,76.9813,76.4068,75.3634,
900000,75.2495,78.9427,74.9219,75.2932,74.7374,74.9874,77.8199,75.029,75.2428,75.036,
910000,87.6368,74.7014,78.4577,78.182,75.6793,83.7097,88.2117,82.2761,75.0245,81.1542,
920000,75.802,78.091,77.2509,76.1236,75.9093,76.1438,77.516,77.471,82.4978,84.9327,
930000,88.3093,87.3272,77.601,79.2284,77.7518,77.6241,76.6274,80.5854,94.7605,76.9455,
940000,76.6287,76.8919,77.5657,76.7137,82.6354,81.6297,76.6849,76.6585,77.3111,79.4962,
950000,82.9006,83.0042,78.8328,79.0405,78.3638,82.5455,79.3539,78.9043,78.2864,79.6227,
960000,86.59,84.4914,79.6141,79.8444,80.4572,80.2649,79.5549,82.5399,85.9749,83.058,
970000,80.1247,83.4804,79.8064,79.2724,80.1733,81.5923,79.4851,83.1986,86.557,91.9576,
980000,79.4749,83.3421,83.4017,80.6574,81.7694,84.3791,80.25,91.3121,85.0122,79.4775,
990000,86.2797,81.4042,81.4701,83.1864,81.1296,87.0135,80.7223,82.8429,81.658,81.4488,
1000000,88.0302,81.8517,82.8648,84.5794,81.1372,81.5802,85.7106,82.0473,85.8055,91.8567,


Quicksort Single Partition
Array Length,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
10000,11.8809,5.4705,5.3866,5.3061,5.3551,5.3152,5.3177,5.3467,5.3018,5.3142,
20000,6.4998,21.8877,21.2363,21.124,27.9116,21.1806,21.0765,20.6644,21.2309,26.9327,
30000,25.0563,32.3396,21.4925,21.2007,21.2198,21.5219,21.4272,21.5621,21.2076,21.2034,
40000,23.3441,23.4336,21.8496,22.2763,22.6256,21.7024,22.5877,22.201,21.8062,21.7553,
50000,24.6602,22.2137,22.3742,23.826,22.2206,22.6086,22.4436,23.4915,26.8295,22.2405,
60000,22.6336,23.1782,23.3005,22.7491,25.98,22.6412,23.3857,23.0665,22.8699,23.0181,
70000,23.2712,23.7488,23.7411,23.1443,23.0437,29.9505,23.7294,35.3698,23.2027,23.0217,
80000,25.4387,38.1016,23.7036,29.5143,35.9108,23.8406,23.4486,23.7272,23.4632,24.7134,
90000,23.9325,24.0887,24.0347,25.9118,27.4307,23.9763,26.7318,24.4391,24.207,24.8028,
100000,24.7279,25.5001,24.4993,24.9063,25.7577,24.6294,24.5964,24.9386,24.7251,24.5224,
110000,24.8607,25.03,25.6283,38.7776,28.0683,24.9078,25.4586,24.9277,25.1804,28.2684,
120000,25.6073,26.0228,25.479,28.4579,38.3876,25.6477,38.3387,25.5097,31.5613,26.2027,
130000,26.6317,31.3008,25.9074,27.5988,26.2395,26.1616,26.0566,29.5701,25.9837,26.0016,
140000,26.4141,26.8417,26.539,26.6423,26.446,29.3074,26.8079,26.5376,26.4524,26.5865,
150000,27.4862,26.9102,32.8445,35.1701,27.2758,34.5073,31.1739,32.1164,28.8252,27.3722,
160000,27.7502,29.9821,27.5093,27.7539,27.6118,28.2612,27.7093,27.4386,30.1412,28.0898,
170000,28.102,28.1911,27.8195,28.8065,28.8354,33.9245,36.053,29.1438,27.8972,27.9546,
180000,28.552,29.1115,28.8839,28.3094,28.5234,29.0865,28.3992,34.7503,31.3917,31.4576,
190000,31.5817,29.1459,29.2242,29.5117,29.8521,43.0306,32.8949,38.9518,29.031,29.1309,
200000,29.7604,29.6878,29.4427,30.2714,29.4637,29.4761,29.4897,30.0564,29.9111,30.4038,
210000,30.1285,31.909,30.1461,30.0145,30.8385,34.9134,31.6064,30.5132,31.1287,31.6341,
220000,30.6238,30.6948,30.9485,30.633,40.6341,30.8641,30.6797,30.6775,30.6308,30.9409,
230000,31.0413,31.069,31.8568,33.5081,31.484,31.0727,31.384,31.5456,31.0559,36.1732,
240000,31.9856,31.2991,32.0726,31.5728,34.5371,31.4994,32.0774,32.0266,31.868,31.7746,
250000,33.5712,32.401,32.0892,32.5394,33.9543,31.9526,32.4588,31.9926,32.199,33.4117,
260000,41.5454,33.3861,32.5097,33.2951,32.642,32.7764,33.0878,35.0424,32.7117,34.4582,
270000,34.0205,33.2233,44.846,32.8389,32.9264,33.1439,32.9941,33.3202,33.2894,33.1599,
280000,33.4995,34.7503,37.016,34.5637,39.1655,34.8421,33.4734,33.8204,35.2384,36.5307,
