Quicksort
Array Length,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
590,0.0259,0.0234,0.0206,0.0186,0.0171,0.0162,0.0155,0.0174,0.0165,0.0175,
600,0.0271,0.0241,0.021,0.0191,0.0174,0.0162,0.022,0.0153,0.0148,0.0146,
610,0.027,0.0245,0.0217,0.0194,0.0195,0.017,0.0187,0.0156,0.0153,0.0149,
620,0.0282,0.0254,0.0221,0.0257,0.0198,0.017,0.0191,0.0185,0.0165,0.0174,
630,0.0324,0.0269,0.0225,0.0217,0.0186,0.0174,0.0198,0.0193,0.016,0.0182,
640,0.0292,0.0258,0.0259,0.0237,0.0192,0.0179,0.0184,0.0204,0.0172,0.0219,
650,0.0309,0.029,0.0265,0.0231,0.0212,0.0185,0.0176,0.017,0.0166,0.0161,
660,0.0302,0.0274,0.0244,0.0223,0.0203,0.0192,0.0184,0.0178,0.0174,0.0173,
670,0.0298,0.027,0.0257,0.0237,0.023,0.0205,0.0182,0.0175,0.0189,0.0173,
680,0.0308,0.0297,0.025,0.0228,0.021,0.0201,0.0193,0.0201,0.0181,0.0177,
690,0.0339,0.0288,0.0256,0.0236,0.0218,0.0242,0.0197,0.0191,0.0185,0.0179,
700,0.032,0.0292,0.0259,0.0237,0.0217,0.0205,0.0197,0.0193,0.0188,0.0184,
710,0.0322,0.0293,0.0262,0.024,0.022,0.0209,0.02,0.0194,0.0187,0.0184,
720,0.0331,0.0304,0.0278,0.0264,0.0242,0.0273,0.0218,0.0265,0.0202,0.0196,
730,0.0333,0.0304,0.0273,0.0251,0.023,0.022,0.0211,0.0205,0.02,0.0197,
740,0.0344,0.0315,0.0287,0.0267,0.0247,0.0232,0.0223,0.0213,0.021,0.0204,
750,0.0341,0.0316,0.0286,0.0261,0.0243,0.023,0.0221,0.0215,0.0209,0.0208,
760,0.0353,0.0359,0.0292,0.0327,0.0249,0.0237,0.0229,0.0222,0.0216,0.0213,
770,0.0357,0.0326,0.0294,0.0273,0.0253,0.0237,0.023,0.0221,0.0216,0.0213,
780,0.0357,0.0333,0.0304,0.0281,0.0261,0.0249,0.0239,0.0233,0.0228,0.0223,
790,0.0366,0.0336,0.0309,0.0286,0.027,0.0256,0.0245,0.0237,0.0288,0.0228,
800,0.0375,0.0346,0.0315,0.0293,0.0274,0.0261,0.0253,0.0248,0.0242,0.0239,
810,0.0376,0.0345,0.0317,0.0295,0.0273,0.026,0.0253,0.0244,0.0237,0.0232,
820,0.041,0.0353,0.0325,0.0305,0.0285,0.027,0.0262,0.0256,0.0251,0.0243,
830,0.0382,0.0408,0.032,0.0298,0.0279,0.0269,0.0258,0.0251,0.0245,0.0238,
840,0.0395,0.0362,0.033,0.0305,0.0285,0.0275,0.0264,0.0256,0.0249,0.0244,
850,0.0392,0.0359,0.0324,0.0305,0.0287,0.0275,0.0263,0.0257,0.025,0.0246,
860,0.04,0.0368,0.0391,0.0317,0.03,0.0287,0.0278,0.0272,0.0263,0.0257,
870,0.0398,0.0367,0.0341,0.0319,0.0299,0.029,0.028,0.0275,0.0269,0.0262,
