1,0.002100,0.000400,0.000300,0.000300,0.000300,0.000300,0.000200,0.000200,0.000300,0.000300,
2,0.008800,0.010600,0.001000,0.001000,0.001000,0.000900,0.000900,0.000900,0.001000,0.000900,
3,0.001300,0.001200,0.001200,0.001200,0.001300,0.001100,0.001200,0.001300,0.001200,0.001300,
4,0.001500,0.001300,0.001300,0.001300,0.001400,0.001400,0.001300,0.001500,0.001300,0.001300,
5,0.001700,0.001400,0.001800,0.001600,0.001600,0.001400,0.001400,0.001400,0.001400,0.001500,
6,0.001800,0.001700,0.001700,0.001500,0.001500,0.001600,0.005700,0.004200,0.001700,0.001800,
7,0.002700,0.001700,0.001600,0.001500,0.012500,0.001200,0.001000,0.001200,0.001300,0.001100,
8,0.001600,0.001400,0.001200,0.001000,0.001100,0.001000,0.001100,0.001000,0.000900,0.001400,
9,0.001500,0.001300,0.001300,0.001200,0.001000,0.006000,0.003600,0.003400,0.001000,0.001400,
10,0.003600,0.001500,0.001100,0.001500,0.006400,0.000800,0.000700,0.005600,0.000500,0.000500,
11,0.000700,0.000500,0.000500,0.000500,0.000500,0.000500,0.000500,0.000500,0.000500,0.000400,
12,0.001400,0.000700,0.000600,0.000500,0.000500,0.000500,0.000400,0.000400,0.000400,0.000400,
13,0.000800,0.000600,0.000500,0.000500,0.016000,0.000600,0.006400,0.000800,0.000500,0.000500,
14,0.000900,0.000700,0.000600,0.000600,0.000800,0.000600,0.000500,0.000500,0.000600,0.000500,
15,0.000900,0.000700,0.000600,0.014100,0.000700,0.000600,0.000500,0.000500,0.000500,0.000500,
16,0.000900,0.000600,0.000600,0.000600,0.000500,0.000600,0.000500,0.000500,0.000600,0.000600,
17,0.000900,0.000700,0.000600,0.000600,0.000500,0.000600,0.000600,0.000600,0.000600,0.000600,
18,0.000900,0.000700,0.000600,0.000600,0.000600,0.000600,0.000600,0.000600,0.000700,0.000600,
19,0.001200,0.000800,0.000700,0.000600,0.001000,0.000900,0.000700,0.000700,0.000700,0.000700,
20,0.001000,0.000700,0.000600,0.000600,0.000600,0.000600,0.001000,0.000700,0.000700,0.000600,
21,0.001000,0.000700,0.000600,0.000600,0.000700,0.000600,0.000600,0.000700,0.000700,0.000700,
22,0.001100,0.000900,0.000800,0.001200,0.000700,0.000700,0.000800,0.001000,0.000800,0.000800,
23,0.001100,0.000800,0.000700,0.000700,0.000700,0.000700,0.000600,0.000600,0.000700,0.000700,
24,0.001100,0.000700,0.000700,0.000700,0.000800,0.000700,0.000700,0.000800,0.000800,0.000800,
25,0.001200,0.000900,0.000800,0.000800,0.000800,0.000800,0.000800,0.000800,0.000800,0.000800,
50,0.002500,0.001700,0.001700,0.002000,0.001500,0.002200,0.001500,0.001500,0.004800,0.002000,
75,0.003500,0.002500,0.002200,0.002200,0.005000,0.002000,0.004700,0.002000,0.002000,0.006200,
100,0.010200,0.005800,0.007000,0.008400,0.005300,0.008000,0.006700,0.008900,0.006900,0.006800,
150,0.014300,0.010500,0.013000,0.009100,0.009100,0.009100,0.009600,0.010000,0.009600,0.009000,
200,0.015600,0.014700,0.013500,0.013000,0.013400,0.015400,0.013000,0.012400,0.012900,0.012400,
250,0.020300,0.018900,0.030600,0.018000,0.017000,0.016300,0.016100,0.016900,0.016600,0.016700,
