1,0.001700,0.000400,0.000200,0.000300,0.000200,0.000300,0.000200,0.000300,0.000300,0.000300,
2,0.009100,0.001100,0.001000,0.000900,0.000900,0.000900,0.000900,0.000900,0.000900,0.000900,
3,0.001100,0.001100,0.001100,0.001000,0.001100,0.001000,0.001000,0.001000,0.001000,0.001000,
4,0.001400,0.001300,0.001300,0.001300,0.001200,0.001200,0.001200,0.001100,0.001300,0.001300,
5,0.001200,0.001600,0.001300,0.001200,0.001100,0.001200,0.001200,0.001300,0.001300,0.001200,
6,0.001600,0.001800,0.001600,0.001500,0.001600,0.001500,0.001600,0.001900,0.001700,0.002600,
7,0.002200,0.001900,0.001700,0.001700,0.017200,0.001400,0.001600,0.001200,0.001400,0.001200,
8,0.001500,0.001500,0.001100,0.001400,0.001500,0.001500,0.006200,0.001600,0.001900,0.001100,
9,0.001400,0.001200,0.001000,0.001300,0.007100,0.007300,0.001800,0.001300,0.002800,0.001200,
10,0.006500,0.000800,0.000600,0.004200,0.000600,0.000400,0.000400,0.000400,0.000400,0.000500,
11,0.000700,0.000500,0.000400,0.000500,0.000500,0.000400,0.000500,0.000500,0.000600,0.000500,
12,0.000700,0.000500,0.000500,0.000500,0.000600,0.000500,0.000500,0.000500,0.000500,0.000500,
13,0.000700,0.000600,0.000500,0.000500,0.011200,0.000700,0.000500,0.000700,0.000600,0.000600,
14,0.000800,0.000600,0.000900,0.000600,0.000600,0.000600,0.000600,0.000500,0.000500,0.000500,
15,0.000700,0.000600,0.000600,0.000500,0.000600,0.000500,0.000500,0.000500,0.000500,0.000500,
16,0.000800,0.000700,0.000600,0.000500,0.000500,0.000500,0.000500,0.008100,0.000700,0.000500,
17,0.000900,0.000700,0.000700,0.000700,0.000700,0.000600,0.000600,0.000600,0.000600,0.010900,
18,0.000900,0.000800,0.000600,0.000700,0.000600,0.000700,0.000600,0.000700,0.000800,0.000700,
19,0.001000,0.000800,0.000600,0.001200,0.000700,0.000700,0.000700,0.000700,0.000600,0.000700,
20,0.000900,0.000700,0.000600,0.001000,0.000700,0.000600,0.000600,0.000700,0.000600,0.000600,
21,0.001000,0.000900,0.000800,0.000800,0.000700,0.000800,0.000800,0.001300,0.000700,0.000800,
22,0.001200,0.000900,0.000900,0.001000,0.000800,0.000800,0.000800,0.000900,0.000800,0.000800,
23,0.001000,0.000800,0.000800,0.000800,0.000800,0.000800,0.000800,0.000700,0.000800,0.000700,
24,0.001200,0.000800,0.000800,0.000700,0.000800,0.000700,0.000800,0.000700,0.000700,0.000800,
25,0.001200,0.000900,0.001000,0.001100,0.000900,0.000900,0.000900,0.000900,0.001100,0.001100,
50,0.002300,0.001700,0.001500,0.008700,0.001600,0.002100,0.001500,0.001500,0.001900,0.001500,
75,0.003700,0.006200,0.005300,0.002500,0.002500,0.002500,0.002400,0.002400,0.002400,0.002500,
100,0.005200,0.004000,0.003500,0.003100,0.003200,0.003000,0.002900,0.003000,0.003100,0.002900,
150,0.007500,0.006500,0.005400,0.005300,0.005300,0.005400,0.005400,0.005000,0.004800,0.005100,
200,0.010000,0.008200,0.007700,0.007300,0.010800,0.006800,0.007200,0.006600,0.006400,0.006400,
