1,0.001900,0.000500,0.000300,0.000300,0.000300,0.000300,0.000200,0.000200,0.000300,0.000300,
2,0.008400,0.001100,0.000900,0.000900,0.000900,0.000900,0.000900,0.000900,0.000900,0.000900,
3,0.001400,0.001200,0.001100,0.001000,0.001200,0.001200,0.001100,0.001300,0.001200,0.001100,
4,0.001500,0.001400,0.001400,0.001400,0.001400,0.001700,0.001300,0.001400,0.001500,0.001200,
5,0.001700,0.001900,0.001400,0.001500,0.001600,0.001500,0.001600,0.001300,0.001500,0.001400,
6,0.001600,0.001400,0.001500,0.002500,0.001700,0.001600,0.001500,0.001600,0.002100,0.002400,
7,0.002200,0.002900,0.001700,0.011600,0.002800,0.001300,0.001400,0.001200,0.001000,0.001300,
8,0.001500,0.001100,0.000900,0.001300,0.001400,0.001200,0.000900,0.000900,0.001200,0.001200,
9,0.001600,0.001200,0.001000,0.001000,0.001400,0.001200,0.005000,0.001400,0.001600,0.001300,
10,0.001800,0.010800,0.000700,0.000600,0.000500,0.002100,0.000600,0.000500,0.000500,0.000500,
11,0.000700,0.000500,0.000500,0.000500,0.000500,0.000400,0.000500,0.000500,0.000500,0.000400,
12,0.000700,0.000500,0.000500,0.000400,0.000500,0.000500,0.000500,0.000500,0.000500,0.000500,
13,0.000700,0.000600,0.000500,0.000500,0.009900,0.000700,0.000600,0.004500,0.000600,0.000600,
14,0.000800,0.000600,0.000600,0.000500,0.000900,0.000500,0.000500,0.000600,0.000500,0.000500,
15,0.000700,0.000600,0.000600,0.000600,0.013400,0.000600,0.000600,0.000500,0.000500,0.000500,
16,0.000800,0.000600,0.000500,0.000600,0.000500,0.000500,0.000600,0.000600,0.000500,0.000600,
17,0.000800,0.000600,0.000600,0.000600,0.000600,0.000500,0.000600,0.000600,0.000600,0.000500,
18,0.000800,0.000600,0.000600,0.000600,0.000600,0.000600,0.000500,0.000600,0.000600,0.000600,
19,0.000900,0.000700,0.000900,0.000700,0.000600,0.000700,0.000700,0.000700,0.001200,0.000700,
20,0.001000,0.000800,0.000700,0.000800,0.000600,0.000600,0.000700,0.000700,0.001000,0.000700,
21,0.001100,0.000800,0.000700,0.000800,0.000700,0.000800,0.000800,0.000700,0.000700,0.000700,
22,0.001200,0.000800,0.000800,0.000700,0.000800,0.001200,0.000800,0.000700,0.000700,0.001200,
23,0.001100,0.000900,0.000800,0.000800,0.000800,0.000700,0.000800,0.000800,0.000700,0.000800,
